player_id,player_name,first_name,team,position,price,avg_rating,avg_points,status,games_played,started_matches,last_5_ratings,total_goals,clean_sheets,goals_conceded,yellow_cards,red_cards
mpg_championship_player_704632,Garin,Ilann,mpg_championship_club_2128,MF,1,,,Disponible,32,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_704747,Gomis,Georges,mpg_championship_club_141,DF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_704820,Siba,Stevan,mpg_championship_club_694,DF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_704821,Leaudais,Lucas,mpg_championship_club_694,DF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_705930,Silistre,Mathys,mpg_championship_club_150,GK,7,3.0,3.37,Disponible,31,1,"[None, None, None, None, None]",0,0,3,0,0
mpg_championship_player_705932,Mukiele,Nordan,mpg_championship_club_150,FW,5,4.714285714285714,4.59,Disponible,32,0,"[4.5, None, 4.5, 4.5, None]",1,0,0,0,0
mpg_championship_player_709797,Bley,Martin,mpg_championship_club_694,MF,1,4.5,4.49,Disponible,20,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_711491,Koffi,Enzo,mpg_championship_club_141,DF,7,4.5,4.47,Disponible,28,3,"[None, None, None, 4.5, 4.5]",0,0,0,1,0
mpg_championship_player_724956,Mbala,Nathan,mpg_championship_club_145,FW,8,5.1923076923076925,4.89,Disponible,14,4,"[4.5, 4.5, 7, 5, 5]",2,0,0,0,0
mpg_championship_player_725822,Daniel Semedo,,mpg_championship_club_694,MF,1,5.0,4.81,Disponible,10,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_73955,Négo,Loïc,mpg_championship_club_141,DF,11,5.086206896551724,5.19,Disponible,33,26,"[5, 5, 4.5, 5.5, None]",0,0,0,3,0
mpg_championship_player_74208,Pogba,Paul,mpg_championship_club_146,MF,5,5.0,4.82,Disponible,33,1,"[5, None, 5, 5, None]",0,0,0,0,0
mpg_championship_player_75987,Leroy,Benjamin,mpg_championship_club_694,GK,3,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_80710,Stambouli,Benjamin,mpg_championship_club_145,MF,3,4.722222222222222,4.64,Disponible,33,9,"[None, 5, 4.5, 5.5, 4.5]",0,0,0,0,0
mpg_championship_player_86132,Colin,Maxime,mpg_championship_club_145,DF,7,4.476190476190476,4.78,Disponible,33,17,"[4, None, None, None, None]",0,0,0,1,0
mpg_championship_player_86479,Tagliafico,Nicolás,mpg_championship_club_143,DF,8,5.05,5.38,Disponible,33,14,"[None, None, 5, None, None]",0,0,0,4,2
mpg_championship_player_86813,Mandi,Aïssa,mpg_championship_club_429,DF,14,5.464285714285714,5.95,Disponible,33,27,"[6, 6, 6, 5.5, 6]",1,0,0,8,0
mpg_championship_player_88754,Kondogbia,Geoffrey,mpg_championship_club_144,MF,7,5.5,5.39,Disponible,33,9,"[None, None, None, None, None]",0,0,0,3,0
mpg_championship_player_92527,Lala,Kenny,mpg_championship_club_862,DF,10,4.693548387096774,5.09,Disponible,33,30,"[5, 5, 3.5, 3, None]",0,0,0,4,0
mpg_championship_player_93264,Dier,Eric,mpg_championship_club_146,DF,1,4.944444444444445,5.36,Disponible,33,7,"[None, None, 5, None, None]",1,0,0,0,0
mpg_championship_player_93605,Meunier,Thomas,mpg_championship_club_429,DF,13,5.3,5.58,Disponible,33,21,"[6.5, 5, 5.5, 4.5, 6.5]",1,0,0,3,0
mpg_championship_player_95434,Thauvin,Florian,mpg_championship_club_142,MF,26,5.8125,5.65,Disponible,33,28,"[5, 5.5, 6, 5, None]",10,0,0,6,0
mpg_championship_player_97288,Dupé,Maxime,mpg_championship_club_1395,GK,7,4.8125,4.72,Disponible,33,8,"[None, None, None, None, None]",0,1,15,0,0
